dbn,school_name,borough,report_type,avg_metric_score,n_metric_rows
08X107,P.S. 107,Bronx,EMS,3.092627737226277,137
08X119,The Dr. Emmett W. Bassett School,Bronx,EMS,2.9358139534883723,129
08X130,P.S. 130 Abram Stevens Hewitt,Bronx,EMS,3.0013533834586466,133
08X131,J.H.S. 131 Albert Einstein,Bronx,EMS,2.771129943502825,177
08X138,P.S. 138 Samuel Randall,Bronx,EMS,2.681640625,128
08X140,P.S. X140 The Eagle School,Bronx,EMS,2.6654014598540146,137
08X146,P.S. 146 Edward Collins,Bronx,EMS,2.9836842105263157,133
08X152,P.S. 152 Evergreen,Bronx,EMS,2.8027083333333334,144
08X182,P.S. 182,Bronx,EMS,2.5564462809917354,121
08X269,Bronx Studio School for Writers and Artists,Bronx,EMS,2.6492349726775957,183
08X269,Bronx Studio School for Writers and Artists,Bronx,HS,2.8113917525773195,194
08X282,Women's Academy of Excellence,Bronx,HS,2.6251612903225805,186
08X293,Renaissance High School for Musical Theater and the Arts,Bronx,HS,3.17078125,192
08X301,M.S. 301 Paul L. Dunbar,Bronx,EMS,2.2779234972677593,183
08X302,M.S. 302 Luisa Dessus Cruz,Bronx,EMS,3.381803278688525,183
08X304,P.S. 304 Early Childhood School,Bronx,EMS,3.3740186915887853,107
08X312,Millennium Art Academy,Bronx,HS,3.0728717948717947,195
08X320,Pelham Lab High School,Bronx,HS,2.436923076923077,169
08X333,The Longwood Academy of Discovery,Bronx,EMS,2.5786524822695034,141
08X337,The School for Inquiry and Social Justice,Bronx,EMS,3.6133522727272727,176
08X348,Schuylerville Preparatory High School,Bronx,HS,2.42207100591716,169
09X053,P.S. 053 Basheer Quisim,Bronx,EMS,3.2038194444444446,144
08X349,Bronx River High School,Bronx,HS,3.4856140350877194,171
08X367,"Archimedes Academy for Math, Science and Technology Applications",Bronx,EMS,2.711791907514451,173
08X367,"Archimedes Academy for Math, Science and Technology Applications",Bronx,HS,2.460777202072539,193
08X371,Urban Institute of Mathematics,Bronx,EMS,3.4020118343195267,169
08X375,The Bronx Mathematics Preparatory School,Bronx,EMS,2.6905494505494505,182
08X376,Antonia Pantoja Preparatory Academy: A College Board School,Bronx,EMS,3.065058823529412,170
08X376,Antonia Pantoja Preparatory Academy: A College Board School,Bronx,HS,2.8029591836734693,196
08X377,Bronx Community High School,Bronx,HST,3.120115606936416,173
08X405,Herbert H. Lehman High School,Bronx,HS,2.2125125628140703,199
08X408,Herbert H. Lehman Yabc,Bronx,YABC,3.085531914893617,94
08X424,Bronx Academy for Multi-Media,Bronx,EMS,3.131584699453552,183
08X432,Bronx Bridges High School,Bronx,HS,3.0461421319796953,197
08X448,Soundview Academy for Culture and Scholarship,Bronx,EMS,2.995367231638418,177
08X452,Gotham Collaborative High School,Bronx,HS,2.7806632653061225,196
08X467,Mott Hall Community School,Bronx,EMS,2.6387222222222224,180
08X507,Stevenson Yabc,Bronx,YABC,2.17375,88
08X530,Longwood Preparatory Academy,Bronx,HS,3.032020202020202,198
08X537,Bronx Arena High School,Bronx,HST,2.710542168674699,166
08X558,Westchester Square Academy,Bronx,HS,2.992771739130435,184
08X559,School for Tourism and Hospitality,Bronx,HS,2.1963392857142856,112
08X561,Bronx Compass High School,Bronx,HS,2.4584239130434784,184
08X562,Pugsley Preparatory Academy,Bronx,EMS,2.961878453038674,181
08X583,P.S. 583,Bronx,EC,2.635,2
09X004,P.S./M.S. 004 Crotona Park West,Bronx,EMS,3.4965555555555556,180
09X011,P.S. 011 Highbridge,Bronx,EMS,2.6526811594202897,138
09X022,J.H.S. 022 Jordan L. Mott,Bronx,EMS,2.840457142857143,175
09X028,P.S. 028 Mount Hope,Bronx,EMS,2.9822535211267605,142
09X035,P.S. 035 Franz Siegel,Bronx,EMS,2.4993478260869564,138
09X042,P.S. 042 Claremont,Bronx,EMS,3.263,140
09X055,P.S. 055 Benjamin Franklin,Bronx,EMS,2.4772093023255812,129
09X058,P.S. 058,Bronx,EMS,2.757265625,128
09X063,P.S. 063 Author's Academy,Bronx,EMS,3.26036231884058,138
09X070,P.S. 070 Max Schoenfeld,Bronx,EMS,2.7084722222222224,144
09X073,P.S. 073 Bronx,Bronx,EMS,2.4671875,128
09X088,P.S. X088 - S. Silverstein Little Sparrow School,Bronx,EC,3.21625,8
09X109,P.S. 109 Sedgwick,Bronx,EMS,2.4915555555555557,135
09X110,P.S. 110 Theodore Schoenfeld,Bronx,EMS,2.7703030303030305,132
09X114,P.S. X114 - Luis Llorens Torres Schools,Bronx,EMS,2.376642857142857,140
09X117,I.S. 117 Joseph H. Wade,Bronx,EMS,2.8652747252747255,182
09X126,P.S. 126 Dr Marjorie H Dunbar,Bronx,EMS,2.9786923076923078,130
09X128,Mott Hall III,Bronx,EMS,3.5255151515151515,165
09X132,P.S. 132 Garret A. Morgan,Bronx,EMS,2.716417910447761,134
09X163,P.S. 163 Arthur A. Schomburg,Bronx,EMS,2.9773387096774195,124
09X170,P.S. 170,Bronx,EC,2.9385714285714286,14
09X199,P.S. 199X - The Shakespeare School,Bronx,EMS,2.894812030075188,133
09X204,P.S. 204 Morris Heights,Bronx,EMS,4.16463768115942,138
09X215,Kappa,Bronx,EMS,3.2697752808988763,178
09X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School,Bronx,EMS,2.9604790419161677,167
09X219,I.S. 219 New Venture School,Bronx,EMS,2.9153107344632767,177
09X227,Bronx Collegiate Academy,Bronx,HS,3.0755837563451776,197
09X229,I.S. 229 Roland Patterson,Bronx,EMS,2.880965909090909,176
09X231,Eagle Academy for Young Men,Bronx,EMS,3.150709677419355,155
09X231,Eagle Academy for Young Men,Bronx,HS,3.18140625,192
09X232,I.S. 232,Bronx,EMS,3.2037158469945357,183
09X236,P.S. 236 Langston Hughes,Bronx,EMS,3.0072972972972973,111
09X241,"Urban Assembly School for Applied Math and Science, The",Bronx,EMS,2.9065384615384615,182
09X241,"Urban Assembly School for Applied Math and Science, The",Bronx,HS,3.201904761904762,189
09X250,Eximius College Preparatory Academy: A College Board School,Bronx,HS,3.6384895833333335,192
09X252,Mott Hall Bronx High School,Bronx,HS,3.2885786802030457,197
09X260,Bronx Center for Science and Mathematics,Bronx,HS,3.9360655737704917,183
09X263,Validus Preparatory Academy,Bronx,HS,2.461269035532995,197
09X274,The New American Academy at Roberto Clemente State Park,Bronx,EMS,2.3452100840336136,119
09X294,The Walton Avenue School,Bronx,EMS,3.5393137254901963,102
09X297,Morris Academy for Collaborative Studies,Bronx,HS,3.350251256281407,199
09X303,I.S. X303 Leadership & Community Service,Bronx,EMS,3.66448275862069,174
09X311,Lucero Elementary School,Bronx,EMS,2.9535416666666667,96
09X313,I.S. 313 School of Leadership Development,Bronx,EMS,2.63698224852071,169
09X323,Bronx Writing Academy,Bronx,EMS,3.093224043715847,183
09X324,Bronx Early College Academy for Teaching & Learning,Bronx,EMS,2.764478527607362,163
09X324,Bronx Early College Academy for Teaching & Learning,Bronx,HS,3.6734920634920636,189
09X327,Comprehensive Model School Project M.S. 327,Bronx,EMS,3.6658192090395483,177
09X327,Comprehensive Model School Project M.S. 327,Bronx,HS,3.1210734463276837,177
09X328,New Millennium Bronx Academy of the Arts,Bronx,EMS,2.928820224719101,178
09X329,DreamYard Preparatory School,Bronx,HS,3.1075634517766497,197
09X350,New Directions Secondary School,Bronx,EMS,1.9056190476190475,105
09X350,New Directions Secondary School,Bronx,HST,2.850978260869565,92
09X361,The Highbridge Green School,Bronx,EMS,3.278820224719101,178
09X365,Academy for Language and Technology,Bronx,HS,4.499274611398964,193
09X403,Bronx International High School,Bronx,HS,3.6694805194805196,154
09X404,School for Excellence,Bronx,HS,2.717058823529412,170
09X412,Bronx High School of Business,Bronx,HS,2.5269035532994923,197
09X413,Bronx High School for Medical Science,Bronx,EMS,3.494090909090909,154
09X413,Bronx High School for Medical Science,Bronx,HS,3.1892857142857145,182
09X443,The Family School,Bronx,EMS,3.6085925925925926,135
09X449,Grant Avenue Elementary School,Bronx,EMS,3.0980882352941177,136
09X454,Science and Technology Academy: A Mott Hall School,Bronx,EMS,4.2584153005464485,183
09X457,Sheridan Academy for Young Leaders,Bronx,EMS,2.847669172932331,133
09X505,"Bronx School for Law, Government and Justice",Bronx,EMS,3.4614367816091955,174
09X505,"Bronx School for Law, Government and Justice",Bronx,HS,2.9682631578947367,190
09X517,Frederick Douglass Academy III Secondary School,Bronx,HS,3.2315736040609138,197
09X525,Bronx Leadership Academy High School,Bronx,HS,2.6688059701492537,201
09X543,High School for Violin and Dance,Bronx,HS,2.6578534031413614,191
10X086,P.S. 086 Kingsbridge Heights,Bronx,EMS,3.160805369127517,149
09X555,Mount Eden Children's Academy,Bronx,EMS,3.217623762376238,101
09X564,Claremont International HS,Bronx,HS,3.4192763157894737,152
09X568,Young Women's Leadership School of the Bronx,Bronx,EMS,3.160902777777778,144
09X568,Young Women's Leadership School of the Bronx,Bronx,HS,3.4673684210526314,114
10X003,P.S. 3 Raul Julia Micro Society,Bronx,EMS,3.384831460674157,178
10X007,Milton Fein School,Bronx,EMS,3.3582758620689654,116
10X008,P.S. 008 Isaac Varian,Bronx,EMS,3.0119444444444445,144
10X009,P.S. 9 Ryer Avenue Elementary School,Bronx,EMS,3.0224647887323943,142
10X015,P.S. X015 Institute for Environmental Learning,Bronx,EMS,3.3366867469879518,166
10X020,"PS/MS 20 P.O.George J. Werdann, III",Bronx,EMS,2.8203351955307263,179
10X023,P.S. 023 The New Children's School,Bronx,EMS,2.561159420289855,138
10X024,P.S. 024 Spuyten Duyvil,Bronx,EMS,3.783012048192771,83
10X032,P.S. 032 Belmont,Bronx,EMS,2.728380281690141,142
10X033,P.S. 033 Timothy Dwight,Bronx,EMS,2.9189583333333333,144
10X037,P.S. X037 - Multiple Intelligence School,Bronx,EMS,3.0523728813559323,177
10X045,Thomas C. Giordano Middle School 45,Bronx,EMS,2.897955801104972,181
10X046,P.S. 046 Edgar Allan Poe,Bronx,EMS,2.406875,144
10X051,The Bronx STEM and Arts Academy,Bronx,EMS,2.3466233766233766,77
10X054,P.S./I.S. 54,Bronx,EMS,2.535267175572519,131
10X056,P.S. 056 Norwood Heights,Bronx,EMS,3.0141666666666667,144
10X059,P.S. 059 The Community School of Technology,Bronx,EMS,2.5415972222222223,144
10X080,J.H.S. 080 The Mosholu Parkway,Bronx,EMS,3.3866120218579234,183
10X081,P.S. 081 Robert J. Christen,Bronx,EMS,3.747317073170732,82
10X085,P.S. 085 Great Expectations,Bronx,EMS,2.451736111111111,144
10X091,P.S. 091 Bronx,Bronx,EMS,2.818985507246377,138
10X094,P.S. 094 Kings College School,Bronx,EMS,2.2147058823529413,136
10X095,P.S. 095 Sheila Mencher,Bronx,EMS,3.0229508196721313,183
10X118,J.H.S. 118 William W. Niles,Bronx,EMS,2.732896174863388,183
10X141,Riverdale / Kingsbridge Academy (Middle School / High School 141),Bronx,EMS,3.070759493670886,158
10X141,Riverdale / Kingsbridge Academy (Middle School / High School 141),Bronx,HS,3.4833684210526314,190
10X159,P.S. 159 Luis Munoz Marin Biling,Bronx,EMS,2.9645714285714284,105
10X205,P.S. 205 Fiorello LaGuardia,Bronx,EMS,2.9577142857142857,140
10X206,I.S. 206 Ann Mersereau,Bronx,EMS,3.0326285714285715,175
10X207,P.S. 207,Bronx,EC,3.20375,8
10X209,P.S. 209,Bronx,EC,2.995,14
10X213,Bronx Engineering and Technology Academy,Bronx,HS,2.8924747474747474,198
10X225,Theatre Arts Production Company School,Bronx,EMS,3.2322297297297298,148
10X225,Theatre Arts Production Company School,Bronx,HS,2.7604188481675394,191
10X226,P.S. 226,Bronx,EMS,3.2145669291338583,127
10X228,Jonas Bronck Academy,Bronx,EMS,3.267639751552795,161
