dbn,school_name,school_type,avg_metric_score,n_metric_rows
03M243,M.S. 243 Center School,Middle,4.391101694915254,118
03M245,M.S. M245 The Computer School,Middle,4.259230769230769,130
03M247,M.S. M247 Dual Language Middle School,Middle,3.68527950310559,161
03M250,M.S. 250 West Side Collaborative Middle School,Middle,3.1129032258064515,93
03M256,Lafayette Academy,Middle,3.593717948717949,156
03M258,Community Action School - MS 258,Middle,3.503972602739726,146
03M291,West End Secondary School,Middle,4.272385321100917,109
03M299,The Maxine Greene HS for Imaginative Inquiry,High School,2.576363636363636,165
03M307,"Urban Assembly School for Media Studies, The",High School,3.1571875,192
03M402,The Urban Assembly School for Green Careers,High School,3.03159793814433,194
03M403,The Global Learning Collaborative,High School,2.9304545454545456,198
03M415,Wadleigh Secondary School for the Performing & Visual Arts,Middle,3.2235714285714288,112
03M415,Wadleigh Secondary School for the Performing & Visual Arts,High School,3.286878306878307,189
03M417,Frank McCourt High School,High School,3.577176470588235,170
03M421,West Prep Academy,Middle,3.5412048192771084,166
03M479,Beacon High School,High School,4.100597014925373,134
03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,High School,4.332926829268293,164
03M492,"High School for Law, Advocacy and Community Justice",High School,2.736165803108808,193
03M494,High School of Arts and Technology,High School,2.5127319587628865,194
03M541,Manhattan / Hunter Science High School,High School,4.469085365853658,164
12X316,Kappa III,Middle,3.369666666666667,180
03M610,Young Women's Leadership School,Middle,3.131532258064516,124
03M610,Young Women's Leadership School,High School,4.312469879518073,166
03M859,Special Music School,High School,4.291205673758865,141
03M860,Frederick Douglass Academy II Secondary School,Middle,3.5158677685950415,121
03M860,Frederick Douglass Academy II Secondary School,High School,2.9627835051546394,194
03M862,Mott Hall II,Middle,3.212364864864865,148
04M224,M.S. 224 Manhattan East School for Arts & Academics,Middle,3.254567901234568,162
04M372,Esperanza Preparatory Academy,Middle,3.566666666666667,165
04M372,Esperanza Preparatory Academy,High School,3.0881818181818184,187
04M377,Renaissance School of the Arts,Middle,3.3404022988505746,174
04M435,Manhattan Center for Science and Mathematics,High School,4.182732558139535,172
04M495,Park East High School,High School,4.462810810810811,185
04M555,Central Park East High School,High School,4.419597701149425,174
04M680,"Heritage School, The",High School,2.9503125,192
04M825,Isaac Newton Middle School for Math & Science,Middle,3.447093023255814,172
05M148,Eagle Academy for Young Men of Harlem,Middle,2.648405797101449,138
05M148,Eagle Academy for Young Men of Harlem,High School,2.77,92
05M157,The Urban Assembly School for Global Commerce,High School,2.4658024691358023,162
05M304,Mott Hall High School,High School,2.738082901554404,193
05M286,Urban Assembly Academy for Future Leaders,Middle,2.659736842105263,152
05M362,Columbia Secondary School,Middle,4.131574803149606,127
05M362,Columbia Secondary School,High School,4.195833333333334,156
05M369,Urban Assembly School for the Performing Arts,High School,2.951421052631579,190
05M499,Frederick Douglass Academy,Middle,2.4965189873417724,158
05M499,Frederick Douglass Academy,High School,2.4812299465240644,187
05M514,New Design Middle School,Middle,2.4316216216216215,148
05M670,Thurgood Marshall Academy for Learning and Social Change,Middle,2.7235664335664334,143
05M670,Thurgood Marshall Academy for Learning and Social Change,High School,2.6798429319371726,191
05M692,"High School for Mathematics, Science and Engineering at City College",High School,4.5501875,160
06M052,Harold O. Levy School,Middle,3.2951807228915664,166
06M223,The Mott Hall School,Middle,3.877593984962406,133
06M143,J.H.S. 143 Eleanor Roosevelt,Middle,3.0838414634146343,164
06M209,Hamilton Grange Middle School,Middle,3.244310344827586,174
06M211,Inwood Early College for Health and Information Technologies,High School,3.026778523489933,149
06M293,City College Magnet School of the Arts,Middle,3.2116025641025643,156
06M293,City College Magnet School of the Arts,High School,3.9841916167664673,167
06M319,M.S. 319 - Maria Teresa,Middle,3.246810810810811,185
06M322,Middle School 322,Middle,3.2824858757062145,177
06M324,M.S. 324 - Patria Mirabal,Middle,3.6176666666666666,180
06M328,Community Math & Science Prep,Middle,3.011197604790419,167
06M346,Community Health Academy of the Heights,Middle,3.188208092485549,173
06M346,Community Health Academy of the Heights,High School,3.148,200
06M348,Washington Heights Expeditionary Learning School,High School,2.96,195
06M349,Harbor Heights,Middle,3.4642857142857144,91
06M462,The College Academy,High School,3.3754545454545455,198
06M463,High School for Media and Communications,High School,2.6253,200
06M467,High School for Law and Public Service,High School,2.8261306532663317,199
06M468,High School for Health Careers and Sciences,High School,2.9924,200
06M528,I.S. 528 Bea Fuller Rodgers School,Middle,3.5680116959064327,171
06M540,A. Philip Randolph Campus High School,High School,2.4945918367346938,196
06M552,Gregorio Luperon High School for Science and Mathematics,High School,3.6969948186528496,193
07X151,J.H.S. 151 Lou Gehrig,Middle,2.604257425742574,101
07X221,South Bronx Preparatory: A College Board School,Middle,3.742528735632184,174
07X221,South Bronx Preparatory: A College Board School,High School,4.0237823834196895,193
07X223,The Laboratory School of Finance and Technology: X223,Middle,3.5454761904761907,168
07X223,The Laboratory School of Finance and Technology: X223,High School,3.880232558139535,129
07X224,P.S./I.S. 224,Middle,2.4933519553072627,179
07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",High School,2.7757988165680474,169
07X296,South Bronx Academy for Applied Media,Middle,2.898100558659218,179
07X298,Academy of Public Relations,Middle,2.8032386363636363,176
07X334,International Community High School,High School,3.440314465408805,159
07X343,Academy of Applied Mathematics and Technology,Middle,3.8800564971751412,177
07X427,Community School for Social Justice,High School,2.9103726708074533,161
07X473,Mott Haven Village Preparatory High School,High School,2.32180412371134,194
07X495,University Heights Secondary School,High School,4.490902255639098,133
07X500,Hostos-Lincoln Academy of Science,Middle,2.942901234567901,162
07X500,Hostos-Lincoln Academy of Science,High School,3.4344198895027622,181
08X123,J.H.S. 123 James M. Kieran,Middle,2.784331550802139,187
07X522,Bronx Design and Construction Academy,High School,2.3785416666666666,192
07X527,Bronx Leadership Academy II High School,High School,3.2903000000000002,200
07X548,Careers in Sports High School,High School,2.312030456852792,197
07X551,The Urban Assembly Bronx Academy of Letters,Middle,2.534655172413793,174
07X551,The Urban Assembly Bronx Academy of Letters,High School,3.1274242424242424,198
07X584,I.S. 584,Middle,3.0223,100
07X600,Alfred E. Smith Career and Technical Education High School,High School,3.284141414141414,198
07X670,Health Opportunities High School,High School,2.5572820512820513,195
