metric_variable_name,plain_english_label
pct_cer_6mo_coll_priv_all,Postsecondary Enrollment Rate in NYS Private (6 months)
pct_cer_6mo_coll_publ_all,Postsecondary Enrollment Rate in NYS Public (6 months)
pct_cer_6mo_other_all,Postsecondary Enrollment Rate in Other (6 months)
pct_cer_6mo_pub_svc_all,Public Service (6 months)
pct_cer_6mo_vocat_all,Vocational Program (6 months)
pct_clg_rdy_act_engl_all,% of students in the current cohort who took the ACT English exam who scored 20+
pct_clg_rdy_act_math_all,% of students in the current cohort who took the ACT Math exam who scored 21+
pct_clg_rdy_cat_math2_all,% of students in the current cohort who took the CUNY Math 2 exam who scored 40+
pct_clg_rdy_cat_math5_all,% of students in the current cohort who took the CUNY Math 5 exam who scored 57+
pct_clg_rdy_cat_read_all,% of students in the current cohort who took the CUNY Reading exam who scored 55+
pct_clg_rdy_cat_write_all,% of students in the current cohort who took the CUNY Writing exam who scored 56+
pct_clg_rdy_sat_math_all,% of students in the current cohort who took the SAT Math exam who passed the college ready threshold
pct_clg_rdy_sat_writ_all,% of students in the current cohort who took the SAT Reading and Writing exam and scored 480+
pct_core_ela_all,ELA Core Course Pass Rate
pct_core_mth_all,Math Core Course Pass Rate
pct_core_sci_all,Science Core Course Pass Rate
pct_core_soc_all,Social Studies Core Course Pass Rate
pct_cpci_all,College and Career Preparatory Course Index
pct_cpci_ap_all,% Scoring 3+ on any AP Exam
pct_cpci_cpcc_all,% Passing a NYCPS-certified CPCC Course
pct_cpci_cte_exam_all,% Passing an Industry-Recognized Technical Assessment
pct_cpci_ib_all,% Scoring 4+ on any IB Exam
pct_cpci_other_college_all,% Earning a Grade of 'C' or Higher for College Credit
pct_cpci_regents_all,"% Scoring 65+ on Alg2, MathB, Chem, or Phys Regents Exam"
pct_cri_4yr_all,4-Year College Readiness Index
pct_cri_6yr_all,YABC College Readiness Index (including Enrollment)
pct_cri_engl_4yr_all,% Attaining English College Readiness Standard
pct_cri_engl_6yr_all,% Attaining English College Readiness Standard (6 year)
pct_cri_math_4yr_all,% Attaining Math College Readiness Standard
pct_cri_math_6yr_all,% Attaining Math College Readiness Standard (6 year)
pct_cri_nopers_6yr_all,YABC College Readiness Index
pct_degree_arts_4yr_all,% Earning a Diploma with an Arts Endorsement
pct_degree_cte_4yr_all,% Earning a Diploma with a CTE Endorsement
pct_degree_reg_4yr_all,% Attaining Regents Diploma (4 year)
pct_degree_reg_6yr_all,% Attaining Regents Diploma (6 year)
pctl_med_unadj_ela_all,"Unadjusted Median Growth Percentile, ELA"
pctl_med_unadj_mth_all,"Unadjusted Median Growth Percentile, Math"
persist3_4yr_all,College Persistence
prof_nysaa_pct_ela_all,"Average Student Proficiency, ELA - NYSAA"
prof_nysaa_pct_mth_all,"Average Student Proficiency, Math - NYSAA"
prof_pct_ela_all,"Percentage of Students at Level 3 or 4, ELA"
prof_pct_mth_all,"Percentage of Students at Level 3 or 4, Math"
rating_mean_ela_all,"Average Student Proficiency, ELA"
rating_mean_mth_all,"Average Student Proficiency, Math"
