Borough,Metric Score
Manhattan,2.4
Manhattan,2.22
Manhattan,2.8
Manhattan,2.06
Manhattan,2.71
Manhattan,2.2
Manhattan,2.0
Manhattan,2.0
Manhattan,2.2
Manhattan,2.0
Manhattan,4.73
Manhattan,4.57
Manhattan,3.44
Manhattan,2.14
Manhattan,2.6
Manhattan,1.42
Manhattan,1.65
Manhattan,1.72
Manhattan,1.06
Manhattan,2.0
Manhattan,2.06
Manhattan,1.8
Manhattan,2.0
Manhattan,2.8
Manhattan,4.77
Manhattan,2.6
Bronx,2.14
Manhattan,3.09
Manhattan,4.13
Manhattan,2.0
Manhattan,2.03
Manhattan,2.82
Manhattan,3.0
Manhattan,3.84
Manhattan,2.89
Manhattan,2.9
Manhattan,3.33
Manhattan,2.73
Manhattan,1.0
Manhattan,2.63
Manhattan,4.13
Manhattan,2.5
Manhattan,1.86
Manhattan,2.56
Manhattan,2.2
Manhattan,4.16
Manhattan,1.43
Manhattan,2.3
Manhattan,4.04
Manhattan,2.43
Manhattan,4.5
Manhattan,3.38
Manhattan,2.44
Manhattan,2.6
Manhattan,2.14
Manhattan,3.14
Manhattan,4.05
Manhattan,4.46
Manhattan,4.16
Manhattan,4.03
Manhattan,4.0
Manhattan,4.33
Manhattan,4.44
Manhattan,4.1
Manhattan,4.77
Manhattan,4.52
Manhattan,3.58
Manhattan,4.07
Manhattan,2.5
Manhattan,3.78
Manhattan,3.19
Manhattan,4.47
Manhattan,4.37
Manhattan,3.63
Manhattan,3.42
Manhattan,3.16
Manhattan,4.84
Manhattan,4.45
Manhattan,2.85
Manhattan,4.64
Bronx,2.48
Manhattan,4.97
Manhattan,4.4
Manhattan,2.75
Manhattan,4.14
Manhattan,4.81
Manhattan,4.45
Manhattan,4.02
Manhattan,1.58
Manhattan,3.25
Manhattan,2.78
Manhattan,2.97
Manhattan,2.66
Manhattan,2.96
Manhattan,4.21
Manhattan,2.75
Manhattan,1.79
Manhattan,3.57
Manhattan,4.11
Manhattan,4.39
Manhattan,4.76
Manhattan,4.41
Manhattan,3.84
Manhattan,3.4
Manhattan,3.08
Manhattan,3.42
Manhattan,4.13
Manhattan,3.75
Manhattan,3.04
Manhattan,2.9
Manhattan,3.62
Manhattan,2.58
Manhattan,4.6
Manhattan,4.99
Manhattan,4.23
Manhattan,4.06
Manhattan,3.65
Manhattan,4.44
Manhattan,4.24
Manhattan,4.75
Manhattan,3.38
Manhattan,1.23
Manhattan,3.64
Manhattan,3.35
Manhattan,2.76
Manhattan,2.66
Manhattan,2.52
Manhattan,2.74
Manhattan,3.37
Manhattan,3.59
Manhattan,3.1
Manhattan,2.69
Manhattan,1.96
Manhattan,2.32
Manhattan,4.88
Manhattan,2.96
Manhattan,2.06
Manhattan,4.17
Manhattan,2.84
Manhattan,1.74
Manhattan,2.0
Manhattan,3.66
Manhattan,2.56
Manhattan,1.74
Manhattan,4.64
Manhattan,4.77
Manhattan,3.59
Manhattan,3.63
Manhattan,3.68
Manhattan,3.45
Manhattan,3.9
Manhattan,1.86
Manhattan,1.39
Manhattan,2.79
Manhattan,2.14
Manhattan,2.8
Manhattan,1.99
Manhattan,2.87
Manhattan,2.19
Manhattan,3.51
Manhattan,3.8
Manhattan,1.94
Manhattan,4.31
Manhattan,3.72
Manhattan,2.49
Manhattan,4.99
Manhattan,2.95
Manhattan,2.55
Manhattan,1.34
Manhattan,1.92
Manhattan,2.53
Manhattan,2.69
Manhattan,3.09
Manhattan,2.47
Manhattan,2.86
Manhattan,2.63
Manhattan,1.83
Manhattan,4.06
Manhattan,2.8
Manhattan,2.6
Manhattan,3.23
Manhattan,3.54
Manhattan,2.47
Manhattan,4.12
Manhattan,2.77
Manhattan,2.72
Manhattan,2.58
Manhattan,3.79
Manhattan,3.03
Manhattan,4.76
Manhattan,4.99
Manhattan,4.78
Manhattan,4.99
Manhattan,4.06
