dbn,school_name,borough,avg_metric_score,n_metric_rows
02M303,"Facing History School, The",Manhattan,3.1265934065934067,182
02M305,"Urban Assembly Academy of Government and Law, The",Manhattan,3.2804761904761905,189
02M308,Lower Manhattan Arts Academy,Manhattan,2.9509523809523808,189
02M312,New York City Lab Middle School for Collaborative Studies,Manhattan,4.393225806451613,124
02M313,"James Baldwin School, The: A School for Expeditionary Learning",Manhattan,3.458723404255319,141
02M316,"Urban Assembly School of Business for Young Women, the",Manhattan,2.370119760479042,167
12X341,Accion Academy,Bronx,3.1679329608938547,179
02M343,The Peck Slip School,Manhattan,3.2217543859649123,57
02M347,The 47 American Sign Language & English Lower School,Manhattan,3.672230215827338,139
02M374,Gramercy Arts High School,Manhattan,2.972192513368984,187
02M376,NYC iSchool,Manhattan,4.145029940119761,167
02M392,Manhattan Business Academy,Manhattan,3.4484455958549223,193
02M393,Business Of Sports School,Manhattan,2.9312755102040815,196
02M394,Emma Lazarus High School,Manhattan,4.2160975609756095,164
02M397,Spruce Street School,Manhattan,3.739646017699115,113
02M399,The High School For Language And Diplomacy,Manhattan,2.8272340425531914,188
02M400,High School for Environmental Studies,Manhattan,2.8920918367346937,196
02M407,Institute for Collaborative Education,Manhattan,4.054352941176471,170
02M408,Professional Performing Arts High School,Manhattan,3.8900738007380076,271
02M411,Baruch College Campus High School,Manhattan,4.573742331288344,163
02M412,N.Y.C. Lab School for Collaborative Studies,Manhattan,4.378562874251497,167
02M413,School of the Future High School,Manhattan,3.8810000000000002,250
02M414,N.Y.C. Museum School,Manhattan,4.387682926829268,164
02M416,Eleanor Roosevelt High School,Manhattan,4.545696969696969,165
02M419,Landmark High School,Manhattan,2.982974683544304,158
02M420,High School for Health Professions and Human Services,Manhattan,3.6223463687150836,179
04M206,P.S. 206 Jose Celso Barbosa,Manhattan,2.9852459016393444,183
02M425,Leadership and Public Service High School,Manhattan,2.7923684210526316,190
02M427,Manhattan Academy For Arts & Language,Manhattan,2.673296703296703,182
02M432,Murray Hill Academy,Manhattan,3.1002158273381295,139
02M437,Hudson High School of Learning Technologies,Manhattan,2.908963730569948,193
02M438,International High School at Union Square,Manhattan,3.4433742331288344,163
02M473,Washington Irving Yabc,Manhattan,3.1775581395348835,86
02M489,High School of Economics and Finance,Manhattan,3.3554450261780104,191
02M507,Urban Assembly Gateway School for Technology,Manhattan,3.817553191489362,188
