dbn,school_name,report_type,n_metrics_compared,n_metrics_below_avg,pct_metrics_below_avg,any_below_avg
25Q169,P.S. 169 Bay Terrace,EMS,172,87,50.6,True
25Q184,P.S. 184 Flushing Manor,EMS,168,53,31.5,True
25Q185,J.H.S. 185 Edward Bleeker,EMS,229,106,46.3,True
25Q189,J.H.S. 189 Daniel Carter Beard,EMS,221,141,63.8,True
25Q193,P.S. 193 Alfred J. Kennedy,EMS,164,56,34.1,True
25Q200,P.S./M.S. 200 - The Magnet School of Global Studies and Leadership,EMS,221,88,39.8,True
25Q201,P.S. 201 The Discovery School for Inquiry and Research,EMS,169,88,52.1,True
25Q209,P.S. 209 Clearview Gardens,EMS,171,79,46.2,True
25Q214,P.S. 214 Cadwallader Colden,EMS,173,103,59.5,True
25Q219,P.S. 219 Paul Klapper,EMS,225,43,19.1,True
25Q237,I.S. 237,EMS,227,146,64.3,True
25Q240,Veritas Academy,HS,284,158,55.6,True
25Q241,Queens High School for Language Studies,HS,252,41,16.3,True
25Q250,I.S. 250 The Robert F. Kennedy Community Middle School,EMS,221,173,78.3,True
25Q252,"Queens School of Inquiry, The",EMS,201,150,74.6,True
25Q252,"Queens School of Inquiry, The",HS,294,91,31.0,True
25Q263,Flushing International High School,HS,243,86,35.4,True
25Q281,East-West School of International Studies,EMS,189,88,46.6,True
25Q281,East-West School of International Studies,HS,276,70,25.4,True
25Q285,World Journalism Preparatory: A College Board School,EMS,194,138,71.1,True
25Q285,World Journalism Preparatory: A College Board School,HS,282,81,28.7,True
27Q100,P.S. 100 Glen Morris,EMS,205,111,54.1,True
25Q294,BELL Academy,EMS,198,39,19.7,True
25Q425,John Bowne High School,HS,363,250,68.9,True
25Q460,Flushing High School,HS,332,202,60.8,True
25Q467,Flushing Yabc,YABC,98,40,40.8,True
25Q499,"The Queens College School for Math, Science and Technology",EMS,219,68,31.1,True
25Q525,Townsend Harris High School,HS,310,64,20.6,True
25Q540,Queens Academy High School,HST,207,124,59.9,True
27Q202,J.H.S. 202 Robert H. Goddard,EMS,244,151,61.9,True
25Q670,Robert F. Kennedy Community High School,HS,348,156,44.8,True
25Q792,North Queens Community High School,HST,179,105,58.7,True
26Q018,P.S. 018 Winchester,EMS,174,77,44.3,True
26Q026,P.S. 026 Rufus King,EMS,205,81,39.5,True
26Q031,P.S. 031 Bayside,EMS,182,82,45.1,True
26Q041,P.S. 041 Crocheron,EMS,165,15,9.1,True
26Q046,P.S. 046 Alley Pond,EMS,166,41,24.7,True
26Q067,J.H.S. 067 Louis Pasteur,EMS,227,101,44.5,True
26Q074,J.H.S. 074 Nathaniel Hawthorne,EMS,236,122,51.7,True
26Q094,P.S. 094 David D. Porter,EMS,148,22,14.9,True
26Q098,P.S. 098 The Douglaston School,EMS,123,38,30.9,True
26Q115,The James J. Ambrose School,EMS,178,86,48.3,True
26Q133,P.S. 133 The Bellerose School of Excellence,EMS,182,64,35.2,True
26Q158,M.S. 158 Marie Curie,EMS,229,139,60.7,True
26Q159,P.S. 159,EMS,175,43,24.6,True
26Q172,Irwin Altman Middle School 172,EMS,241,137,56.8,True
26Q173,P.S. 173 Fresh Meadows,EMS,194,59,30.4,True
26Q178,P.S./ IS 178 Holliswood,EMS,210,133,63.3,True
26Q186,P.S. 186 Castlewood,EMS,159,38,23.9,True
26Q188,P.S. 188 Kingsbury,EMS,156,42,26.9,True
26Q191,P.S. 191 Mayflower,EMS,149,71,47.7,True
26Q203,P.S. 203 Oakland Gardens,EMS,170,19,11.2,True
26Q205,P.S. 205 Alexander Graham Bell,EMS,150,35,23.3,True
26Q213,P.S. 213 The Carl Ullman School,EMS,168,86,51.2,True
26Q216,J.H.S. 216 George J. Ryan,EMS,247,41,16.6,True
26Q221,P.S. 221 The North Hills School,EMS,176,72,40.9,True
26Q315,Business Technology Early College High School,HS,264,52,19.7,True
26Q430,Francis Lewis High School,HS,362,192,53.0,True
26Q435,Martin Van Buren High School,HS,344,214,62.2,True
26Q495,Bayside High School,HS,367,53,14.4,True
26Q566,"Queens High School of Teaching, Liberal Arts and the Sciences",HS,338,160,47.3,True
27Q042,P.S./M.S 042 R. Vernam,EMS,203,146,71.9,True
27Q045,P.S. 045 Clarence Witherspoon,EMS,154,133,86.4,True
27Q047,P.S. 047 Chris Galas,EMS,151,55,36.4,True
27Q053,M.S. 053 Brian Piccolo,EMS,204,81,39.7,True
27Q056,P.S. 056 Harry Eichler,EMS,198,128,64.6,True
27Q060,P.S. 060 Woodhaven,EMS,197,38,19.3,True
27Q062,P. S. 62 - Chester Park School,EMS,205,159,77.6,True
27Q262,Channel View School for Research,HS,318,98,30.8,True
27Q063,P.S. 063 Old South,EMS,214,103,48.1,True
27Q064,P.S. 064 Joseph P. Addabbo,EMS,183,144,78.7,True
27Q065,P.S. 65 - The Raymond York Elementary School,EMS,171,98,57.3,True
27Q066,P.S. 066 Jacqueline Kennedy Onassis,EMS,175,14,8.0,True
27Q090,P.S. 090 Horace Mann,EMS,188,124,66.0,True
27Q096,P.S. 096,EMS,168,48,28.6,True
27Q097,P.S. 097 Forest Park,EMS,190,118,62.1,True
27Q104,P.S. 104 The Bays Water,EMS,185,125,67.6,True
27Q105,P.S. 105 The Bay School,EMS,210,152,72.4,True
27Q106,Lighthouse Elementary School,EMS,139,114,82.0,True
27Q108,P.S. 108 Captain Vincent G. Fowler,EMS,210,69,32.9,True
27Q114,P.S./M.S. 114 Belle Harbor,EMS,171,71,41.5,True
27Q123,P.S. 123,EMS,204,94,46.1,True
27Q124,P.S. 124 Osmond A Church,EMS,250,182,72.8,True
27Q137,M.S. 137 America's School of Heroes,EMS,244,118,48.4,True
27Q146,P.S. 146 Howard Beach,EMS,210,109,51.9,True
27Q155,P.S. 155,EMS,174,39,22.4,True
27Q197,P.S. 197 The Ocean School,EMS,182,46,25.3,True
27Q207,P.S. 207 Rockwood Park,EMS,185,113,61.1,True
27Q223,P.S. 223 Lyndon B. Johnson,EMS,212,184,86.8,True
27Q226,J.H.S. 226 Virgil I. Grissom,EMS,240,206,85.8,True
27Q253,The Randolph Holder School for Social Justice,EMS,191,153,80.1,True
27Q254,P.S. 254 - The Rosa Parks School,EMS,174,100,57.5,True
27Q260,Frederick Douglass Academy VI High School,HS,288,196,68.1,True
27Q261,Voyages Prep - South Queens,HST,196,46,23.5,True
27Q262,Channel View School for Research,EMS,210,160,76.2,True
27Q273,P.S. 273,EMS,158,94,59.5,True
27Q282,Knowledge and Power Preparatory Academy VI,EMS,202,73,36.1,True
27Q297,Hawtree Creek Middle School,EMS,220,145,65.9,True
27Q302,"Queens High School for Information, Research, and Technology",HS,296,47,15.9,True
27Q306,New York City Academy for Discovery,EMS,179,132,73.7,True
27Q308,Robert H. Goddard High School of Communication Arts and Technology,HS,324,61,18.8,True
27Q309,Academy of Medical Technology: A College Board School,EMS,201,141,70.1,True
27Q309,Academy of Medical Technology: A College Board School,HS,293,200,68.3,True
27Q334,Epic High School - North,HS,247,100,40.5,True
27Q316,Queens Explorers Elementary School,EMS,108,42,38.9,True
27Q317,Waterside Children's Studio School,EMS,184,48,26.1,True
27Q318,Waterside School For Leadership,EMS,199,87,43.7,True
27Q319,Village Academy,EMS,209,50,23.9,True
27Q323,Scholars' Academy,EMS,182,42,23.1,True
27Q323,Scholars' Academy,HS,315,33,10.5,True
27Q324,Rockaway Park High School for Environmental Sustainability,HS,286,184,64.3,True
28Q139,P.S. 139 Rego Park,EMS,186,89,47.8,True
27Q351,Rockaway Collegiate High School,HS,283,225,79.5,True
27Q362,Wave Preparatory Elementary School,EMS,150,35,23.3,True
27Q400,August Martin High School,HS,298,104,34.9,True
27Q480,John Adams High School,HS,369,104,28.2,True
27Q650,"High School for Construction Trades, Engineering and Architecture",HS,356,60,16.9,True
28Q008,J.H.S. 008 Richard S. Grossley,EMS,220,142,64.5,True
28Q040,P.S. 040 Samuel Huntington,EMS,176,65,36.9,True
28Q048,David N. Dinkins School,EMS,190,44,23.2,True
28Q050,P.S. 050 Talfourd Lawn Elementary School,EMS,207,124,59.9,True
28Q054,P.S. 054 Hillside,EMS,175,121,69.1,True
28Q055,P.S. 055 Maure,EMS,164,101,61.6,True
28Q072,Catherine & Count Basie Middle School 72,EMS,226,182,80.5,True
28Q080,PS 80  The Thurgood Marshall Magnet School of Multimedia and Communication,EMS,173,105,60.7,True
28Q082,P.S. 082 Hammond,EMS,192,149,77.6,True
28Q086,P.S. Q086,EMS,183,101,55.2,True
28Q099,P.S. 099 Kew Gardens,EMS,213,44,20.7,True
28Q101,P.S. 101 School in the Gardens,EMS,169,60,35.5,True
28Q117,P.S. 117 J. Keld / Briarwood School,EMS,202,125,61.9,True
28Q121,P.S. 121 Queens,EMS,169,56,33.1,True
28Q140,P.S. 140 Edward K Ellington,EMS,150,61,40.7,True
28Q144,P.S. 144 Col Jeromus Remsen,EMS,191,90,47.1,True
28Q157,J.H.S. 157 Stephen A. Halsey,EMS,238,92,38.7,True
28Q157,J.H.S. 157 Stephen A. Halsey,HS,32,11,34.4,True
28Q160,P.S. 160 Walter Francis Bishop,EMS,204,106,52.0,True
28Q161,P.S. 161 Arthur Ashe School,EMS,183,104,56.8,True
28Q167,Metropolitan Expeditionary Learning School,EMS,231,179,77.5,True
28Q167,Metropolitan Expeditionary Learning School,HS,295,76,25.8,True
28Q174,P.S. 174 William Sidney Mount,EMS,178,80,44.9,True
28Q175,P.S. 175 The Lynn Gross Discovery School,EMS,180,133,73.9,True
28Q182,P.S. 182 Samantha Smith,EMS,195,160,82.1,True
28Q190,J.H.S. 190 Russell Sage,EMS,237,178,75.1,True
28Q196,P.S. 196 Grand Central Parkway,EMS,170,16,9.4,True
28Q206,P.S. 206 The Horace Harding School,EMS,185,159,85.9,True
28Q217,J.H.S. 217 Robert A. Van Wyck,EMS,240,131,54.6,True
28Q220,P.S. 220 Edward Mandel,EMS,196,169,86.2,True
28Q284,York Early College Academy,EMS,203,123,60.6,True
28Q284,York Early College Academy,HS,257,37,14.4,True
28Q287,The Emerson School,EMS,223,190,85.2,True
28Q310,Queens Collegiate: A College Board School,EMS,220,132,60.0,True
28Q310,Queens Collegiate: A College Board School,HS,318,149,46.9,True
29Q109,Jean Nuzzi Intermediate School,EMS,238,168,70.6,True
28Q312,Jamaica Children's School,EMS,86,55,64.0,True
28Q325,Hillside Arts & Letters Academy,HS,322,53,16.5,True
28Q328,High School for Community Leadership,HS,323,23,7.1,True
28Q332,Redwood Middle School,EMS,214,121,56.5,True
28Q338,Queens Satellite High School for Opportunity,HST,153,116,75.8,True
28Q350,Jamaica Gateway to the Sciences,HS,324,92,28.4,True
28Q354,The Jermaine L. Green STEM Institute of Queens,EMS,170,102,60.0,True
28Q440,Forest Hills High School,HS,366,208,56.8,True
28Q505,Hillcrest High School,HS,388,180,46.4,True
28Q620,Thomas A. Edison Career and Technical Education High School,HS,388,178,45.9,True
28Q680,Queens Gateway to Health Sciences Secondary School,EMS,189,103,54.5,True
28Q680,Queens Gateway to Health Sciences Secondary School,HS,268,90,33.6,True
28Q686,Queens Metropolitan High School,HS,333,122,36.6,True
28Q687,Queens High School for the Sciences at York College,HS,200,33,16.5,True
28Q690,High School for Law Enforcement and Public Safety,HS,306,170,55.6,True
28Q896,"Young Women's Leadership School, Queens",EMS,191,122,63.9,True
28Q896,"Young Women's Leadership School, Queens",HS,270,66,24.4,True
29Q015,P.S. 015 Jackie Robinson,EMS,156,111,71.2,True
29Q033,P.S. 033 Edward M. Funk,EMS,220,188,85.5,True
29Q035,P.S. 035 Nathaniel Woodhull,EMS,201,139,69.2,True
29Q036,P.S. 036 Saint Albans School,EMS,173,146,84.4,True
29Q037,Cynthia Jenkins School,EMS,142,121,85.2,True
29Q038,P.S. 038 Rosedale,EMS,126,61,48.4,True
29Q052,P.S. 052 Queens,EMS,173,151,87.3,True
29Q059,I.S. 059 Springfield Gardens,EMS,214,154,72.0,True
29Q095,P.S. 095 Eastwood,EMS,187,67,35.8,True
29Q116,P.S./I.S. 116 William C. Hughley,EMS,227,163,71.8,True
29Q118,P.S. 118 Lorraine Hansberry,EMS,185,111,60.0,True
29Q131,P.S. 131 Abigail Adams,EMS,190,56,29.5,True
29Q132,P.S. 132 Ralph Bunche,EMS,134,63,47.0,True
29Q134,P.S. 134 Hollis,EMS,180,142,78.9,True
29Q135,The Bellaire School,EMS,206,170,82.5,True
29Q136,P.S. 136 Roy Wilkins,EMS,160,118,73.8,True
29Q138,P.S./M.S. 138 Sunrise,EMS,217,164,75.6,True
29Q147,P.S./M.S. 147 Ronald McNair,EMS,205,168,82.0,True
29Q156,P.S. 156 Laurelton,EMS,126,101,80.2,True
29Q176,P.S. 176 Cambria Heights,EMS,144,78,54.2,True
29Q181,P.S. 181 Brookfield,EMS,145,48,33.1,True
29Q192,I.S. 192 The Linden,EMS,221,161,72.9,True
29Q195,P.S. 195 William Haberle,EMS,146,125,85.6,True
29Q208,P.S./I.S. 208,EMS,208,164,78.8,True
29Q238,I.S. 238 - Susan B. Anthony Academy,EMS,232,172,74.1,True
29Q243,Institute for Health Professions at Cambria Heights,HS,196,34,17.3,True
29Q248,Queens Preparatory Academy,HS,258,135,52.3,True
29Q251,P.S. 251 Queens,EMS,121,75,62.0,True
29Q259,Pathways College Preparatory School: A College Board School,EMS,184,96,52.2,True
29Q259,Pathways College Preparatory School: A College Board School,HS,253,97,38.3,True
29Q265,Excelsior Preparatory High School,HS,268,63,23.5,True
29Q326,Cambria Heights Academy,HS,271,71,26.2,True
29Q270,The Gordon Parks School,EMS,181,138,76.2,True
29Q272,George Washington Carver High School for the Sciences,HS,274,151,55.1,True
29Q283,Preparatory Academy for Writers: A College Board School,EMS,165,69,41.8,True
29Q283,Preparatory Academy for Writers: A College Board School,HS,247,128,51.8,True
29Q289,Queens United Middle School,EMS,178,135,75.8,True
29Q313,Benjamin Franklin High School for Finance & Information Technology,HS,219,70,32.0,True
29Q327,Eagle Academy for Young Men III,EMS,174,122,70.1,True
29Q327,Eagle Academy for Young Men III,HS,208,94,45.2,True
29Q355,Collaborative Arts Middle School,EMS,203,171,84.2,True
29Q356,Community Voices Middle School,EMS,207,130,62.8,True
29Q492,"Mathematics, Science Research and Technology Magnet High School",HS,277,181,65.3,True
30Q017,P.S. 017 Henry David Thoreau,EMS,205,110,53.7,True
29Q498,"Health, Arts, Robotics, and Technology High School",HS,286,108,37.8,True
30Q002,P.S. 002 Alfred Zimberg,EMS,195,79,40.5,True
30Q010,I.S. 010 Horace Greeley,EMS,229,72,31.4,True
30Q011,P.S. 011 Kathryn Phelan,EMS,203,70,34.5,True
30Q069,P.S. 069 Jackson Heights,EMS,197,114,57.9,True
30Q070,P.S. 070,EMS,193,125,64.8,True
30Q076,P.S. 076 William Hallet,EMS,187,108,57.8,True
30Q084,P.S. 084 Steinway,EMS,145,80,55.2,True
30Q092,P.S. 092 Harry T. Stewart Sr.,EMS,178,87,48.9,True
30Q111,P.S. 111 Jacob Blackwell,EMS,203,147,72.4,True
30Q122,P.S. 122 Mamie Fay,EMS,224,99,44.2,True
30Q126,Albert Shanker School for Visual and Performing Arts,EMS,229,126,55.0,True
30Q127,P.S. 127 Aerospace Science Magnet School,EMS,223,144,64.6,True
30Q141,I.S. 141 The Steinway,EMS,240,120,50.0,True
30Q145,I.S. 145 Joseph Pulitzer,EMS,225,94,41.8,True
30Q148,P.S. 148 Queens,EMS,185,102,55.1,True
30Q149,P.S. 149 Christa McAuliffe,EMS,190,116,61.1,True
30Q150,P.S. 150 Queens,EMS,191,39,20.4,True
30Q151,P.S. 151 Mary D. Carter,EMS,195,79,40.5,True
30Q152,P.S. 152 Gwendoline N. Alleyne School,EMS,183,60,32.8,True
30Q166,P.S. 166 Henry Gradstein,EMS,213,77,36.2,True
30Q171,P.S. 171 Peter G. Van Alst,EMS,204,154,75.5,True
30Q204,I.S. 204 Oliver W. Holmes,EMS,229,103,45.0,True
30Q227,I.S. 227 Louis Armstrong,EMS,241,47,19.5,True
30Q230,I.S. 230,EMS,220,102,46.4,True
30Q258,Energy Tech High School,HS,271,44,16.2,True
30Q580,Baccalaureate School for Global Education,HS,268,63,23.5,True
30Q280,PS280Q: Home of the Lionhearts,EMS,168,94,56.0,True
30Q286,"Young Women's Leadership School, Astoria",EMS,198,100,50.5,True
30Q286,"Young Women's Leadership School, Astoria",HS,281,45,16.0,True
30Q291,Hunters Point Community Middle School,EMS,226,111,49.1,True
30Q300,The 30th Avenue School (G&T Citywide),EMS,169,38,22.5,True
30Q301,Academy for Careers in Television and Film,HS,319,19,6.0,True
30Q329,East Elmhurst Community School,EMS,132,69,52.3,True
30Q445,William Cullen Bryant High School,HS,361,275,76.2,True
30Q450,Long Island City High School,HS,360,281,78.1,True
30Q501,Frank Sinatra School of the Arts High School,HS,333,115,34.5,True
30Q502,Information Technology High School,HS,341,188,55.1,True
30Q555,ATLAS,HS,290,88,30.3,True
30Q575,Academy of American Studies,HS,329,142,43.2,True
30Q580,Baccalaureate School for Global Education,EMS,114,31,27.2,True
31R001,P.S. 001 Tottenville,EMS,159,73,45.9,True
31R002,I.S. R002 George L. Egbert,EMS,233,186,79.8,True
31R003,P.S. 003 The Margaret Gioiosa School,EMS,170,46,27.1,True
31R004,P.S. 004 Maurice Wollin,EMS,188,96,51.1,True
31R005,P.S. 005 Huguenot,EMS,107,11,10.3,True
31R006,P.S. 6 Corporal Allan F. Kivlehan School,EMS,162,78,48.1,True
31R018,P.S. 018 John G. Whittier,EMS,187,122,65.2,True
31R007,I.S. 007 Elias Bernstein,EMS,222,89,40.1,True
31R008,P.S. 8 Shirlee Solomon,EMS,170,47,27.6,True
31R009,Naples Street Elementary School,EMS,105,6,5.7,True
31R010,Fort Hill Collaborative Elementary School,EMS,87,51,58.6,True
31R011,P.S. 11 Thomas Dongan School,EMS,173,108,62.4,True
31R013,P.S. 013 M. L. Lindemeyer,EMS,198,54,27.3,True
31R016,P.S. 016 John J. Driscoll,EMS,188,136,72.3,True
31R019,P.S. 019 The Curtis School,EMS,185,145,78.4,True
31R020,P.S. 020 Port Richmond,EMS,179,119,66.5,True
31R021,P.S. 21 Margaret Emery-Elm Park,EMS,168,46,27.4,True
31R022,P.S. 022 Graniteville,EMS,213,136,63.8,True
31R023,P.S. 023 Richmondtown,EMS,172,19,11.0,True
31R024,I.S. 024 Myra S. Barnes,EMS,227,162,71.4,True
31R026,P.S. 026 The Carteret School,EMS,158,41,25.9,True
31R027,I.S. 027 Anning S. Prall,EMS,234,161,68.8,True
31R028,The Eagle Academy for Young Men of Staten Island,EMS,207,109,52.7,True
31R028,The Eagle Academy for Young Men of Staten Island,HS,97,47,48.5,True
31R029,P.S. 029 Bardwell,EMS,185,106,57.3,True
31R030,P.S. 030 Westerleigh,EMS,181,56,30.9,True
31R031,P.S. 031 William T. Davis,EMS,165,144,87.3,True
31R032,P.S. 032 The Gifford School,EMS,182,56,30.8,True
31R035,P.S. 35 The Clove Valley School,EMS,167,20,12.0,True
31R036,P.S. 036 J. C. Drumgoole,EMS,183,132,72.1,True
31R038,P.S. 038 George Cromwell,EMS,179,130,72.6,True
31R039,P.S. 39 Francis J. Murphy Jr.,EMS,187,92,49.2,True
31R041,The Stephanie A. Vierno School,EMS,205,127,62.0,True
31R042,P.S. 042 Eltingville,EMS,190,127,66.8,True
31R044,P.S. 044 Thomas C. Brown,EMS,191,161,84.3,True
31R045,P.S. 045 John Tyler,EMS,223,170,76.2,True
31R046,P.S. 046 Albert V. Maniscalco,EMS,172,138,80.2,True
31R047,CSI High School for International Studies,HS,292,34,11.6,True
31R048,P.S. 048 William G. Wilcox,EMS,219,116,53.0,True
31R050,P.S. 050 Frank Hankinson,EMS,173,32,18.5,True
31R051,I.S. 051 Edwin Markham,EMS,236,179,75.8,True
31R052,P.S. 052 John C. Thompson,EMS,181,68,37.6,True
31R053,The Barbara Esselborn School,EMS,179,61,34.1,True
31R054,P.S. 054 Charles W. Leng,EMS,194,70,36.1,True
31R055,P.S. 055 Henry M. Boehm,EMS,165,67,40.6,True
31R056,P.S. 56 The Louis Desario School,EMS,166,70,42.2,True
31R057,P.S. 057 Hubert H. Humphrey,EMS,191,115,60.2,True
31R064,Gaynor McCown Expeditionary Learning School,HS,282,107,37.9,True
31R058,Space Shuttle Columbia School,EMS,199,115,57.8,True
31R059,The Harbor View School,EMS,104,80,76.9,True
31R060,P.S. 060 Alice Austen,EMS,201,170,84.6,True
31R061,I.S. 061 William A Morris,EMS,235,195,83.0,True
31R063,Marsh Avenue School for Expeditionary Learning,EMS,219,140,63.9,True
31R065,P.S. 65 The Academy of Innovative Learning,EMS,175,33,18.9,True
31R069,P.S. 069 Daniel D. Tompkins,EMS,187,140,74.9,True
31R445,Port Richmond High School,HS,362,213,58.8,True
31R072,I.S. 072 Rocco Laurie,EMS,238,167,70.2,True
31R074,P.S. 74 Future Leaders Elementary School,EMS,181,126,69.6,True
31R075,I.S. 075 Frank D. Paulo,EMS,231,110,47.6,True
31R078,P.S. 78,EMS,190,145,76.3,True
31R080,The Michael J. Petrides School,EMS,231,94,40.7,True
31R080,The Michael J. Petrides School,HS,324,168,51.9,True
31R450,Curtis High School,HS,365,223,61.1,True
31R455,Tottenville High School,HS,368,226,61.4,True
31R460,Susan E. Wagner High School,HS,374,229,61.2,True
31R470,Concord High School,HST,190,87,45.8,True
31R600,Ralph R. McKee Career and Technical Education High School,HS,325,181,55.7,True
31R605,Staten Island Technical High School,HS,256,66,25.8,True
31R607,Staten Island Yabc,YABC,95,45,47.4,True
31R861,Staten Island School of Civic Leadership,EMS,244,71,29.1,True
32K045,P.S./I.S. 045 Horace E. Greene,EMS,214,157,73.4,True
32K075,P.S. 075 Mayda Cortiella,EMS,165,126,76.4,True
32K086,P.S. 086 The Irvington,EMS,160,88,55.0,True
32K106,P.S. 106 Edward Everett Hale,EMS,171,145,84.8,True
32K116,P.S. 116 Elizabeth L Farrell,EMS,162,119,73.5,True
32K123,P.S. 123 Suydam,EMS,178,139,78.1,True
32K145,P.S. 145 Andrew Jackson,EMS,172,129,75.0,True
32K151,P.S. 151 Lyndon B. Johnson,EMS,147,54,36.7,True
32K162,J.H.S. 162 The Willoughby,EMS,202,95,47.0,True
32K168,The Brooklyn School for Math and Research,HS,276,44,15.9,True
32K274,P.S. 274 Kosciusko,EMS,157,121,77.1,True
32K291,J.H.S. 291 Roland Hayes,EMS,211,140,66.4,True
32K299,P.S. 299 Thomas Warren Field,EMS,152,107,70.4,True
32K347,I.S. 347 School of Humanities,EMS,193,145,75.1,True
32K349,"I.S. 349 Math, Science & Tech.",EMS,211,153,72.5,True
32K377,P.S. 377 Alejandrina B. De Gautier,EMS,153,115,75.2,True
32K383,J.H.S. 383 Philippa Schuyler,EMS,219,159,72.6,True
32K384,P.S. /I.S. 384 Frances E. Carter,EMS,208,140,67.3,True
32K403,Academy for Excellence in Leadership,HS,257,100,38.9,True
32K545,EBC High School for Public Service - Bushwick,HS,263,111,42.2,True
32K549,The Brooklyn School for Social Justice,HS,260,113,43.5,True
32K552,The Academy of Urban Planning and Engineering,HS,280,76,27.1,True
32K554,All City Leadership Secondary School,EMS,153,61,39.9,True
32K554,All City Leadership Secondary School,HS,228,43,18.9,True
32K556,Bushwick Leaders High School for Academic Excellence,HS,269,140,52.0,True
32K562,Evergreen Middle School for Urban Exploration,EMS,211,122,57.8,True
32K564,Bushwick Community High School,HST,186,75,40.3,True
84K037,Beginning with Children Charter School II,EMS,161,59,36.6,True
84K125,Success Academy Charter School - Bed Stuy 2,EMS,122,9,7.4,True
84K129,Success Academy Charter School - Cobble Hill,EMS,134,8,6.0,True
84K182,Success Academy Charter School - Williamsburg,EMS,121,11,9.1,True
84K333,Explore Exceed Charter School,EMS,162,88,54.3,True
84K355,Uncommon Williamsburg Charter School NYC,EMS,183,46,25.1,True
84K356,Achievement First Crown Heights Charter School,EMS,186,92,49.5,True
84K356,Achievement First Crown Heights Charter School,HS,216,137,63.4,True
84K357,KIPP Always Mentally Prepared Charter School,EMS,178,53,29.8,True
84K357,KIPP AMP Charter School,HS,124,41,33.1,True
84K358,Achievement First East New York Charter School,EMS,183,82,44.8,True
84K358,Achievement First East New York Charter School,HS,183,108,59.0,True
84K359,The Uft Charter School,HS,141,60,42.6,True
84K360,Launch Expeditionary Learning Charter School,EMS,182,92,50.5,True
84K362,Hellenic Classical Charter School,EMS,194,78,40.2,True
84K367,Success Academy Charter School - Bed Stuy 1,EMS,142,14,9.9,True
84K379,Explore Excel Charter School,EMS,206,58,28.2,True
84K395,New Visions AIM Charter High School I,HST,123,114,92.7,True
84K406,"EMBER Charter School for Mindful Education, Innovation and Transformation",EMS,141,82,58.2,True
84K417,Urban Dove Team Charter School,HST,158,111,70.3,True
84K473,Williamsburg Charter High School,HS,262,197,75.2,True
84K486,New Dawn Charter High School,HST,190,106,55.8,True
84K508,Achievement First Endeavor Charter School,EMS,173,78,45.1,True
84K517,Uncommon Bed-Stuy West Charter School NYC,EMS,198,63,31.8,True
84K517,Uncommon Bed-Stuy West Charter School NYC,HS,171,111,64.9,True
84K536,Community Roots Charter School,EMS,189,75,39.7,True
84K538,Achievement First Bushwick Charter School,EMS,198,45,22.7,True
84K593,Uncommon Excellence Boys Charter School NYC,EMS,174,62,35.6,True
84K608,Uncommon Kings Charter School NYC,EMS,185,47,25.4,True
84K608,Uncommon Kings Charter School NYC,HS,126,91,72.2,True
84K626,Achievement First Brownsville Charter School,EMS,193,91,47.2,True
84K626,Achievement First Brownsville Charter School,HS,92,76,82.6,True
84K648,Uncommon Bed-Stuy East Charter School NYC,EMS,195,42,21.5,True
84K649,La Cima Charter School,EMS,149,92,61.7,True
84K651,PAVE Academy Charter School,EMS,178,75,42.1,True
84K652,Brooklyn Ascend Charter School,EMS,178,53,29.8,True
84K652,Brooklyn Ascend Charter School,HS,161,109,67.7,True
84K680,Achievement First Aspire Charter School,EMS,146,85,58.2,True
84K693,Northside Charter High School,HS,244,164,67.2,True
84K701,Brooklyn Charter School,EMS,133,55,41.4,True
84K702,Community Partnership Charter School,EMS,170,89,52.4,True
84K704,Explore Charter School,EMS,191,79,41.4,True
84K707,Brooklyn Prospect Charter School - CSD 15,EMS,130,56,43.1,True
84K707,Brooklyn Prospect Charter School,HS,130,81,62.3,True
84K710,Brownsville Collegiate Charter School,EMS,148,54,36.5,True
84K711,Uncommon Brownsville South Charter School NYC,EMS,192,53,27.6,True
84K712,Uncommon Excellence Girls Charter School NYC,EMS,146,68,46.6,True
84K712,Uncommon Excellence Girls Charter School NYC,HS,194,124,63.9,True
84K724,Uncommon Canarsie Charter School NYC,EMS,184,63,34.2,True
84K730,Summit Academy Charter School,EMS,156,69,44.2,True
84K730,Summit Academy Charter School,HS,217,136,62.7,True
84K733,"Math, Engineering, and Science Academy Charter High School",HS,204,46,22.5,True
84K736,New American Academy Charter School,EMS,118,54,45.8,True
84K737,Brownsville Ascend Charter School,EMS,186,106,57.0,True
84K738,United Charter High School for Advanced Math and Science lll,HS,209,66,31.6,True
84M336,KIPP Infinity Charter School,EMS,184,48,26.1,True
84K739,New Visions Charter High School for the Humanities III,HS,122,60,49.2,True
84K759,Canarsie Ascend Charter School,EMS,139,44,31.7,True
84K740,Brooklyn Scholars Charter School,EMS,198,128,64.6,True
84K741,Success Academy Charter School - Crown Heights,EMS,115,11,9.6,True
84K742,Explore Empower Charter School,EMS,198,69,34.8,True
84K744,Coney Island Preparatory Public Charter School,EMS,229,68,29.7,True
84K744,Coney Island Preparatory Public Charter School,HS,248,110,44.4,True
84K752,Success Academy Charter School - Fort Greene,EMS,57,7,12.3,True
84K756,Success Academy Charter School - Prospect Heights,EMS,73,10,13.7,True
84K757,Unity Preparatory Charter School of Brooklyn,EMS,196,96,49.0,True
