dbn,school_name,report_type,n_metrics_compared,n_metrics_below_avg,pct_metrics_below_avg,any_below_avg
19K364,I.S. 364 Gateway,EMS,157,106,67.5,True
19K404,Academy for Young Writers,EMS,176,123,69.9,True
22K425,James Madison High School,HS,365,243,66.6,True
19K404,Academy for Young Writers,HS,276,133,48.2,True
19K409,East New York Family Academy,EMS,184,102,55.4,True
19K409,East New York Family Academy,HS,276,129,46.7,True
19K422,Spring Creek Community School,EMS,182,125,68.7,True
19K422,Spring Creek Community School,HS,188,125,66.5,True
19K431,Thomas Jefferson Yabc,YABC,99,65,65.7,True
19K452,Frederick Douglass Academy VIII Middle School,EMS,193,128,66.3,True
19K501,Franklin K. Lane Campus YABC,YABC,100,39,39.0,True
19K502,FDNY - Captain Vernon A. Richard High School for Fire and Life Safety,HS,275,149,54.2,True
19K504,High School for Civil Rights,HS,212,130,61.3,True
19K507,Performing Arts and Technology High School,HS,281,110,39.1,True
19K510,World Academy for Total Community Health High School,HS,267,168,62.9,True
19K557,Brooklyn Gardens Elementary School,EMS,159,108,67.9,True
19K583,Multicultural High School,HS,233,84,36.1,True
19K615,Transit Tech Career and Technical Education High School,HS,310,174,56.1,True
19K618,Academy of Innovative Technology,HS,290,72,24.8,True
19K639,Brooklyn Lab School,HS,296,156,52.7,True
19K654,Van Siclen Community Middle School,EMS,209,135,64.6,True
19K659,Cypress Hills Collegiate Preparatory School,HS,270,77,28.5,True
19K660,W. H. Maxwell Career and Technical Education High School,HS,290,119,41.0,True
19K661,Vista Academy,EMS,219,127,58.0,True
19K662,Liberty Avenue Middle School,EMS,219,151,68.9,True
19K663,School of the Future Brooklyn,EMS,184,154,83.7,True
19K677,East New York Elementary School of Excellence,EMS,184,159,86.4,True
19K678,East New York Middle School of Excellence,EMS,201,138,68.7,True
19K683,School for Classics High School,HS,288,162,56.2,True
23K668,Riverdale Avenue Middle School,EMS,183,84,45.9,True
19K760,Highland Park Community School,EMS,186,123,66.1,True
19K764,The Urban Assembly School for Collaborative Healthcare,HS,229,105,45.9,True
19K907,Legacy School of the Arts,EMS,100,78,78.0,True
20K030,P.S./I.S. 30 Mary White Ovington,EMS,220,142,64.5,True
20K048,P.S. 048 Mapleton,EMS,199,84,42.2,True
20K062,J.H.S. 062 Ditmas,EMS,229,141,61.6,True
20K069,P.S. 69 Vincent D. Grippo School,EMS,173,17,9.8,True
20K102,P.S. 102 The Bayview,EMS,198,78,39.4,True
20K104,P.S./I.S. 104 The Fort Hamilton School,EMS,240,127,52.9,True
20K105,P.S. 105 The Blythebourne,EMS,175,52,29.7,True
20K112,P.S. 112 Lefferts Park,EMS,175,81,46.3,True
20K127,P.S. 127 McKinley Park,EMS,180,40,22.2,True
20K160,P.S. 160 William T. Sampson,EMS,186,27,14.5,True
20K163,P.S. 163 Bath Beach,EMS,208,39,18.8,True
20K164,P.S. 164 Caesar Rodney,EMS,185,24,13.0,True
20K170,Ralph A. Fabrizio School,EMS,188,37,19.7,True
20K176,P.S. 176 Ovington,EMS,191,37,19.4,True
20K179,P.S. 179 Kensington,EMS,183,116,63.4,True
20K180,The SEEALL Academy,EMS,221,85,38.5,True
20K185,P.S. 185 Walter Kassenbrock,EMS,180,71,39.4,True
20K186,P.S. 186 Dr. Irving A Gladstone,EMS,193,56,29.0,True
20K187,The Christa McAuliffe School\I.S. 187,EMS,206,43,20.9,True
20K192,P.S. 192 - The Magnet School for Math and Science Inquiry,EMS,219,72,32.9,True
24Q061,I.S. 061 Leonardo Da Vinci,EMS,227,112,49.3,True
20K200,P.S. 200 Benson School,EMS,201,130,64.7,True
20K201,The Madeleine Brennan School,EMS,222,55,24.8,True
20K204,P.S. 204 Vince Lombardi,EMS,201,62,30.8,True
20K205,P.S. 205 Clarion,EMS,188,44,23.4,True
20K220,J.H.S. 220 John J. Pershing,EMS,229,71,31.0,True
20K223,J.H.S. 223 The Montauk,EMS,225,128,56.9,True
20K227,J.H.S. 227 Edward B. Shallow,EMS,223,157,70.4,True
20K247,P.S. 247 Brooklyn,EMS,176,22,12.5,True
20K259,J.H.S. 259 William McKinley,EMS,233,82,35.2,True
20K264,P.S. 264 Bay Ridge Elementary School For The Arts,EMS,177,36,20.3,True
20K310,The School For Future Leaders,EMS,159,16,10.1,True
20K445,New Utrecht High School,HS,354,256,72.3,True
20K485,High School of Telecommunication Arts and Technology,HS,342,105,30.7,True
20K490,Fort Hamilton High School,HS,362,273,75.4,True
20K503,P.S. 503: The School of Discovery,EMS,187,82,43.9,True
20K505,Franklin Delano Roosevelt High School,HS,362,243,67.1,True
24Q119,P.S./I.S. 119 The Glendale,EMS,222,120,54.1,True
20K506,P.S. 506: The School of Journalism & Technology,EMS,185,125,67.6,True
20K609,Urban Assembly School for Leadership and Empowerment,EMS,195,87,44.6,True
20K609,Urban Assembly School for Leadership and Empowerment,HS,288,66,22.9,True
20K658,Franklin Delano Roosevelt YABC,YABC,101,42,41.6,True
20K682,The Academy of Talented Scholars,EMS,163,23,14.1,True
20K686,Brooklyn School of Inquiry,EMS,189,31,16.4,True
20K748,P.S. 748 Brooklyn School for Global Scholars,EMS,173,56,32.4,True
20K971,"School of Math, Science, and Healthy Living",EMS,162,106,65.4,True
21K090,P.S. 90 Edna Cohen School,EMS,185,99,53.5,True
21K095,P.S. 095 The Gravesend,EMS,221,56,25.3,True
21K096,I.S. 096 Seth Low,EMS,229,147,64.2,True
21K097,P.S. 97 The Highlawn,EMS,184,55,29.9,True
21K098,I.S. 98 Bay Academy,EMS,223,28,12.6,True
21K099,P.S. 099 Isaac Asimov,EMS,227,122,53.7,True
21K100,P.S. 100 The Coney Island School,EMS,171,60,35.1,True
21K101,P.S. 101 The Verrazano,EMS,178,26,14.6,True
21K128,P.S. 128 Bensonhurst,EMS,181,132,72.9,True
21K153,P.S. 153 Homecrest,EMS,199,133,66.8,True
21K177,P.S. 177 The Marlboro,EMS,195,61,31.3,True
21K188,P.S. 188 Michael E. Berdy,EMS,169,125,74.0,True
21K199,P.S. 199 Frederick Wachtel,EMS,190,105,55.3,True
21K209,P.S. 209 Margaret Mead,EMS,214,101,47.2,True
21K212,P.S. 212 Lady Deborah Moody,EMS,208,93,44.7,True
21K215,P.S. 215 Morris H. Weiss,EMS,187,116,62.0,True
